customer_id,gender,age,state,city,estimated_salary,plan_type,tenure_months,total_complaints,avg_calls_3m,avg_data_3m,usage_drop_ratio,recharge_frequency,last_month_calls,last_month_data,churn
17,F,62.0,Arunachal Pradesh,Hyderabad,27543.0,Postpaid,10.0,1.0,121.0,12548.333333333334,12.869565217391305,1.0,295.0,14084.0,0
18,M,39.0,Tripura,Delhi,59954.0,Prepaid,14.0,1.0,,7729.666666666667,1.1092436974789917,2.6666666666666665,131.0,9848.0,0
19,M,35.0,Maharashtra,Chennai,199208.0,Postpaid,17.0,0.0,103.0,8647.333333333334,0.9161290322580645,,141.0,3641.0,0
20,F,71.0,Maharashtra,Delhi,45289.0,Postpaid,2.0,0.0,126.0,10497.666666666666,0.4251968503937008,1.0,53.0,13472.0,0
21,M,38.0,Delhi,Bangalore,113396.0,Postpaid,8.0,0.0,114.33333333333333,6780.333333333333,11.833333333333334,1.0,70.0,291.0,1
22,F,43.0,Delhi,Mumbai,125787.0,Prepaid,25.0,0.0,109.33333333333333,12745.333333333334,0.07518796992481203,1.6666666666666667,19.0,19755.0,0
23,M,72.0,,Kolkata,81813.0,Postpaid,8.0,1.0,84.33333333333333,9253.0,0.15942028985507245,1.0,32.0,4136.0,0
24,M,34.0,Tripura,Bangalore,141288.0,Prepaid,2.0,0.0,209.66666666666666,11910.666666666666,0.5258620689655172,2.5,121.0,19698.0,0
25,M,31.0,Mizoram,Delhi,73682.0,Postpaid,24.0,0.0,188.33333333333334,11900.0,0.4072164948453608,1.0,78.0,8441.0,0
26,F,60.0,Arunachal Pradesh,Delhi,157326.0,Prepaid,7.0,0.0,58.666666666666664,13140.333333333334,2.1333333333333333,1.8333333333333333,31.0,14216.0,0
27,F,43.0,West Bengal,Mumbai,128464.0,Prepaid,28.0,0.0,106.66666666666667,7840.0,0.09125475285171103,1.8333333333333333,23.0,8650.0,0
28,F,31.0,Arunachal Pradesh,Delhi,156198.0,Prepaid,31.0,0.0,99.0,13321.666666666666,1.6145833333333333,2.1666666666666665,154.0,4096.0,0
29,M,58.0,Tripura,Mumbai,46734.0,Prepaid,16.0,0.0,183.0,11331.666666666666,0.5048076923076923,2.1666666666666665,104.0,13546.0,1
30,M,53.0,Delhi,Bangalore,142177.0,Prepaid,3.0,0.0,205.0,8875.0,0.5263157894736842,2.5,149.0,2548.0,0
31,M,28.0,Maharashtra,Chennai,125292.0,Prepaid,23.0,0.0,46.666666666666664,5081.333333333333,1.6666666666666667,2.5,19.0,3179.0,0
32,M,26.0,Mizoram,Chennai,93698.0,Prepaid,10.0,0.0,99.33333333333333,10026.666666666666,1.1515151515151516,2.8333333333333335,113.0,7443.0,0
33,M,32.0,Karnataka,Kolkata,87728.0,Postpaid,17.0,0.0,190.0,10998.333333333334,,1.0,106.0,11760.0,0
34,F,21.0,West Bengal,Mumbai,52265.0,Prepaid,29.0,0.0,242.0,9844.333333333334,1.158102766798419,2.8333333333333335,292.0,2616.0,0
35,F,55.0,West Bengal,Mumbai,96077.0,Prepaid,8.0,0.0,131.0,9095.333333333334,0.4955357142857143,2.8333333333333335,110.0,3976.0,0
36,M,74.0,Karnataka,Bangalore,188502.0,Prepaid,31.0,0.0,106.66666666666667,7921.0,0.13409961685823754,2.6666666666666665,34.0,2490.0,1
37,M,66.0,Tripura,Delhi,24757.0,Prepaid,30.0,0.0,186.66666666666666,4670.0,7.0476190476190474,2.3333333333333335,295.0,7811.0,0
38,F,68.0,Maharashtra,Mumbai,179937.0,Prepaid,4.0,0.0,272.3333333333333,15961.0,1.0311284046692606,2.6666666666666665,264.0,16880.0,0
39,M,20.0,Arunachal Pradesh,Kolkata,105595.0,Prepaid,14.0,0.0,220.0,6166.0,0.7016949152542373,3.0,206.0,5341.0,0
40,,37.0,Tripura,Hyderabad,229829.0,Postpaid,31.0,0.0,127.66666666666667,8597.0,4.22,1.0,210.0,18185.0,0
41,M,62.0,Mizoram,Hyderabad,101994.0,Postpaid,5.0,0.0,46.666666666666664,4440.666666666667,1.9444444444444444,1.0,69.0,3640.0,1
42,M,34.0,Mizoram,Hyderabad,,Postpaid,19.0,0.0,126.0,,3.0,1.0,236.0,16350.0,0
43,M,60.0,Mizoram,Kolkata,183993.0,Prepaid,3.0,0.0,52.666666666666664,12753.333333333334,0.8148148148148148,3.1666666666666665,21.0,1841.0,0
44,M,38.0,Karnataka,Hyderabad,87957.0,Prepaid,7.0,0.0,154.0,5535.333333333333,0.5022222222222222,3.0,112.0,9874.0,0
45,M,,Arunachal Pradesh,Hyderabad,246474.0,Prepaid,7.0,0.0,199.0,5283.666666666667,0.41245136186770426,2.0,105.0,4310.0,0
46,F,66.0,Tripura,Bangalore,93972.0,Prepaid,10.0,0.0,172.66666666666666,9006.0,1.3866666666666667,2.1666666666666665,207.0,1306.0,0
47,M,30.0,Mizoram,Kolkata,44262.0,Postpaid,20.0,0.0,173.33333333333334,12807.333333333334,,1.0,186.0,14332.0,0
48,M,59.0,Arunachal Pradesh,Mumbai,176497.0,Prepaid,8.0,0.0,162.33333333333334,16738.0,1.5055555555555555,2.3333333333333335,270.0,17838.0,0
49,F,25.0,Arunachal Pradesh,Hyderabad,90831.0,Prepaid,16.0,1.0,91.0,13222.333333333334,0.4394904458598726,2.8333333333333335,68.0,18588.0,0
50,M,59.0,Tamil Nadu,Delhi,153541.0,Prepaid,5.0,0.0,113.33333333333333,6228.333333333333,10.130434782608695,3.3333333333333335,232.0,7509.0,0
51,M,65.0,,Delhi,198589.0,Prepaid,8.0,1.0,48.333333333333336,6551.0,1.3725490196078431,2.1666666666666665,69.0,1324.0,1
52,M,52.0,Tamil Nadu,Hyderabad,47083.0,Prepaid,31.0,0.0,207.33333333333334,12538.666666666666,0.10738255033557047,2.8333333333333335,31.0,12222.0,0
53,F,73.0,Tamil Nadu,Hyderabad,73268.0,,29.0,0.0,247.0,18487.333333333332,0.9689655172413794,1.0,280.0,19139.0,0
54,F,42.0,Karnataka,Hyderabad,219988.0,Prepaid,1.0,0.0,152.0,7980.666666666667,11.789473684210526,2.6666666666666665,223.0,5609.0,0
55,F,,Karnataka,Hyderabad,177661.0,Prepaid,13.0,1.0,133.66666666666666,13231.666666666666,2.625,3.0,251.0,16885.0,0
56,F,50.0,Tripura,Chennai,76985.0,Prepaid,7.0,1.0,129.66666666666666,2623.6666666666665,0.6436170212765957,2.3333333333333335,120.0,2930.0,0
57,F,23.0,Mizoram,Bangalore,225209.0,Prepaid,5.0,0.0,155.33333333333334,6272.333333333333,0.7131782945736435,2.3333333333333335,91.0,10681.0,0
58,F,73.0,Karnataka,Delhi,211387.0,Prepaid,2.0,0.0,165.0,9145.666666666666,0.654320987654321,3.3333333333333335,105.0,7063.0,0
59,M,51.0,Tamil Nadu,Bangalore,196422.0,Prepaid,13.0,0.0,64.33333333333333,6754.333333333333,2.372549019607843,2.5,120.0,513.0,0
60,F,34.0,Arunachal Pradesh,Kolkata,243224.0,Prepaid,6.0,0.0,240.33333333333334,9803.666666666666,0.6779026217228464,,180.0,11052.0,0
61,M,60.0,Tripura,Hyderabad,35563.0,Prepaid,17.0,0.0,133.66666666666666,5903.666666666667,0.75,2.5,47.0,432.0,1
62,F,41.0,Arunachal Pradesh,,216733.0,Postpaid,11.0,1.0,182.33333333333334,11833.333333333334,1.2014388489208634,1.0,166.0,8019.0,0
63,M,51.0,Karnataka,Mumbai,145354.0,Prepaid,4.0,0.0,150.33333333333334,9092.333333333334,2.02,2.0,201.0,8633.0,0
64,M,65.0,Tripura,Kolkata,138516.0,Prepaid,17.0,,95.0,10351.333333333334,1.197674418604651,1.1666666666666667,102.0,6092.0,0
65,M,61.0,West Bengal,Mumbai,129834.0,Prepaid,21.0,0.0,131.0,6490.0,,3.0,126.0,7042.0,0
66,M,21.0,Tripura,Hyderabad,188722.0,Prepaid,30.0,,193.66666666666666,7667.0,0.6190476190476191,2.5,168.0,4154.0,0
67,M,59.0,Delhi,Chennai,139891.0,Prepaid,26.0,0.0,108.66666666666667,11141.333333333334,1.2366412213740459,3.0,161.0,17956.0,0
68,F,41.0,Arunachal Pradesh,Chennai,158299.0,Prepaid,29.0,0.0,145.0,4138.666666666667,12.571428571428571,2.1666666666666665,263.0,1269.0,0
69,F,20.0,Mizoram,Bangalore,239772.0,Postpaid,26.0,0.0,186.33333333333334,13289.333333333334,0.8390804597701149,1.0,145.0,10606.0,0
70,F,30.0,Karnataka,Chennai,220321.0,Prepaid,15.0,0.0,212.0,6774.333333333333,6.456521739130435,2.5,296.0,3874.0,0
71,F,74.0,Maharashtra,Chennai,180400.0,Prepaid,22.0,0.0,141.66666666666666,1598.3333333333333,1.1639344262295082,2.6666666666666665,70.0,2799.0,0
72,F,53.0,Karnataka,Mumbai,144481.0,Prepaid,26.0,1.0,198.33333333333334,5020.666666666667,0.9545454545454546,2.5,167.0,8129.0,0
73,F,31.0,Karnataka,Hyderabad,44226.0,Prepaid,5.0,0.0,62.333333333333336,8693.333333333334,1.0,2.8333333333333335,34.0,14391.0,0
74,F,49.0,Tamil Nadu,Hyderabad,225342.0,Prepaid,22.0,0.0,214.33333333333334,12409.666666666666,0.33574007220216606,2.5,92.0,12668.0,0
75,F,63.0,Arunachal Pradesh,Chennai,61568.0,Prepaid,21.0,0.0,110.0,4437.666666666667,0.75,1.8333333333333333,71.0,7048.0,0
76,F,73.0,Maharashtra,Hyderabad,247392.0,Prepaid,9.0,0.0,187.33333333333334,10341.333333333334,3.8225806451612905,2.6666666666666665,236.0,14556.0,0
77,F,38.0,Mizoram,Hyderabad,137360.0,Postpaid,1.0,0.0,218.0,12372.333333333334,0.3248175182481752,1.0,88.0,8580.0,0
78,M,36.0,Tripura,Chennai,83936.0,Prepaid,1.0,0.0,242.33333333333334,8613.333333333334,1.2262443438914028,3.0,270.0,9464.0,0
79,F,27.0,West Bengal,Chennai,174960.0,Prepaid,26.0,0.0,252.0,10472.333333333334,0.6476510067114094,3.0,192.0,12732.0,0
80,F,42.0,Mizoram,Bangalore,228883.0,Prepaid,25.0,0.0,212.66666666666666,12156.0,0.9435483870967742,2.1666666666666665,233.0,11273.0,0
81,F,46.0,Tripura,Chennai,175930.0,Postpaid,16.0,0.0,36.333333333333336,7633.0,1.6333333333333333,1.0,,1056.0,1
82,M,20.0,Karnataka,Chennai,214018.0,Prepaid,30.0,0.0,97.66666666666667,18990.666666666668,1.3636363636363635,2.5,29.0,19518.0,0
83,F,73.0,Arunachal Pradesh,Hyderabad,102617.0,Prepaid,13.0,0.0,82.33333333333333,7517.0,8.166666666666666,2.1666666666666665,,7143.0,0
84,F,47.0,Mizoram,Delhi,214718.0,Prepaid,31.0,,125.0,8210.0,0.8082901554404145,2.1666666666666665,155.0,1330.0,0
85,M,,Tripura,Kolkata,210864.0,Prepaid,22.0,0.0,84.66666666666667,12469.666666666666,1.2950819672131149,2.3333333333333335,78.0,8499.0,0
86,F,22.0,Tamil Nadu,Bangalore,46201.0,Prepaid,25.0,0.0,149.33333333333334,8622.0,1.4913793103448276,3.1666666666666665,172.0,2474.0,0
87,F,33.0,West Bengal,Mumbai,27896.0,Postpaid,19.0,0.0,141.66666666666666,13495.333333333334,0.5930232558139535,1.0,152.0,9635.0,0
88,F,61.0,Delhi,Bangalore,222040.0,Prepaid,1.0,0.0,133.0,5899.0,3.5283018867924527,2.6666666666666665,186.0,,0
89,M,27.0,Tripura,Hyderabad,103457.0,Prepaid,2.0,0.0,123.33333333333333,11744.333333333334,1.8571428571428572,2.6666666666666665,77.0,13671.0,0
90,M,32.0,West Bengal,Chennai,166011.0,Prepaid,13.0,0.0,213.0,8464.0,,2.0,276.0,3051.0,0
91,F,45.0,Karnataka,Chennai,778280.0,Prepaid,19.0,0.0,112.66666666666667,1138.0,1.3617021276595744,2.5,63.0,1601.0,0
92,F,72.0,Delhi,Kolkata,176222.0,Prepaid,18.0,0.0,219.0,9204.0,0.8036363636363636,2.0,220.0,16799.0,0
93,F,26.0,Tripura,Mumbai,197109.0,Postpaid,16.0,0.0,249.0,8896.333333333334,0.9929328621908127,1.0,280.0,9622.0,0
94,F,51.0,Mizoram,Delhi,225735.0,,2.0,0.0,143.0,13434.333333333334,1.1968503937007875,3.0,151.0,17343.0,0
95,F,30.0,Maharashtra,Mumbai,70290.0,Postpaid,9.0,0.0,177.0,11398.666666666666,0.5714285714285714,1.0,159.0,18851.0,0
96,M,59.0,Arunachal Pradesh,Kolkata,210747.0,Prepaid,11.0,0.0,184.0,10441.666666666666,1.5263157894736843,1.8333333333333333,231.0,540.0,0
97,F,19.0,Karnataka,Hyderabad,109709.0,Prepaid,22.0,0.0,240.0,12865.0,1.0710900473933649,1.6666666666666667,225.0,11828.0,0
98,F,29.0,West Bengal,Chennai,91853.0,Postpaid,30.0,0.0,184.66666666666666,9703.0,1.3088235294117647,1.0,266.0,9802.0,0
99,M,35.0,Karnataka,Hyderabad,106795.0,Prepaid,10.0,0.0,121.33333333333333,14182.666666666666,4.811320754716981,2.5,254.0,18852.0,0
100,F,58.0,Karnataka,Hyderabad,90448.0,Prepaid,29.0,0.0,69.66666666666667,12401.666666666666,1.451219512195122,2.3333333333333335,118.0,12031.0,0
101,F,56.0,Tamil Nadu,Mumbai,101348.0,Prepaid,29.0,0.0,74.0,3530.6666666666665,1.046875,2.3333333333333335,66.0,1388.0,0
102,M,28.0,Tripura,Mumbai,94637.0,Prepaid,4.0,0.0,243.66666666666666,10694.333333333334,1.0448430493273542,3.0,232.0,7564.0,0
103,F,38.0,West Bengal,Delhi,141251.0,Prepaid,13.0,0.0,119.33333333333333,12604.666666666666,1.509090909090909,3.1666666666666665,165.0,11672.0,1
104,M,18.0,Maharashtra,Chennai,222514.0,Prepaid,15.0,0.0,120.66666666666667,10677.666666666666,2.142857142857143,2.3333333333333335,164.0,8097.0,0
105,F,23.0,Arunachal Pradesh,Hyderabad,135598.0,Prepaid,32.0,0.0,,6814.333333333333,2.1772151898734178,1.8333333333333333,171.0,9056.0,0
106,M,20.0,Mizoram,Mumbai,146060.0,Prepaid,17.0,0.0,153.33333333333334,3954.3333333333335,0.1111111111111111,1.3333333333333333,17.0,1807.0,0
107,F,36.0,Maharashtra,Delhi,152212.0,Prepaid,28.0,0.0,212.66666666666666,8799.666666666666,0.967479674796748,1.8333333333333333,237.0,7769.0,0
108,M,32.0,Arunachal Pradesh,Delhi,164063.0,Prepaid,26.0,0.0,109.33333333333333,,0.3150684931506849,2.8333333333333335,22.0,18608.0,1
109,F,39.0,Tripura,Bangalore,237770.0,Postpaid,31.0,0.0,208.33333333333334,9633.333333333334,0.136986301369863,1.0,39.0,11386.0,0
110,M,54.0,Karnataka,Hyderabad,237228.0,Postpaid,31.0,0.0,178.33333333333334,9804.333333333334,2.152941176470588,1.0,182.0,10707.0,1
111,M,55.0,Delhi,Mumbai,100807.0,Prepaid,6.0,0.0,82.0,3679.3333333333335,1.0517241379310345,2.0,60.0,234.0,1
112,M,74.0,Karnataka,Bangalore,181822.0,Postpaid,1.0,0.0,191.0,7218.0,1.0148148148148148,1.0,273.0,6085.0,0
113,F,51.0,Mizoram,Mumbai,199838.0,Prepaid,24.0,0.0,137.0,6873.333333333333,2.2933333333333334,1.8333333333333333,171.0,5023.0,0
114,M,30.0,Arunachal Pradesh,Kolkata,199767.0,Postpaid,15.0,0.0,143.33333333333334,9351.333333333334,0.10652920962199312,1.0,30.0,16711.0,0
115,M,59.0,Karnataka,Hyderabad,173077.0,Postpaid,18.0,0.0,,9866.0,0.7482993197278912,1.0,109.0,11360.0,0
116,F,26.0,Delhi,Chennai,67377.0,Postpaid,11.0,0.0,70.33333333333333,7124.333333333333,0.4921875,1.0,62.0,2600.0,1
117,M,,Delhi,Mumbai,194037.0,Postpaid,14.0,0.0,160.0,12162.0,0.8837209302325582,1.0,113.0,12367.0,0
118,F,70.0,Mizoram,Delhi,71374.0,Postpaid,23.0,0.0,211.33333333333334,15831.0,1.889655172413793,1.0,273.0,13012.0,0
119,F,62.0,West Bengal,Delhi,196743.0,Prepaid,17.0,1.0,95.33333333333333,13734.666666666666,0.36,3.3333333333333335,35.0,15884.0,0
120,M,30.0,Tripura,Chennai,205326.0,Prepaid,17.0,0.0,104.0,7828.333333333333,3.6875,2.1666666666666665,235.0,14850.0,0
121,F,22.0,West Bengal,Bangalore,64605.0,Postpaid,7.0,0.0,91.0,4198.666666666667,2.8,1.0,41.0,3063.0,1
122,F,52.0,Tamil Nadu,Delhi,35449.0,Prepaid,12.0,0.0,125.33333333333333,11134.0,5.777777777777778,2.8333333333333335,103.0,12974.0,0
123,M,39.0,Tamil Nadu,Kolkata,104388.0,Prepaid,21.0,0.0,187.33333333333334,6471.666666666667,0.5054545454545455,2.6666666666666665,138.0,9292.0,0
124,F,37.0,Tripura,Bangalore,150722.0,Prepaid,12.0,0.0,175.33333333333334,12969.0,2.5043478260869567,1.5,287.0,11093.0,0
125,F,28.0,Delhi,Delhi,69812.0,Prepaid,10.0,0.0,137.66666666666666,9377.333333333334,2.215686274509804,2.8333333333333335,112.0,14369.0,0
126,F,32.0,Arunachal Pradesh,Hyderabad,198048.0,Prepaid,10.0,0.0,215.33333333333334,12446.333333333334,,2.1666666666666665,258.0,15401.0,0
127,F,24.0,Maharashtra,Bangalore,105076.0,Prepaid,18.0,0.0,183.0,9285.333333333334,8.8125,2.3333333333333335,281.0,12334.0,0
128,M,51.0,Maharashtra,Bangalore,159784.0,,16.0,0.0,160.0,9575.666666666666,0.8509615384615384,2.1666666666666665,176.0,1008.0,1
129,M,46.0,Karnataka,Hyderabad,82021.0,Prepaid,11.0,0.0,103.33333333333333,6422.666666666667,1.9545454545454546,3.1666666666666665,171.0,5296.0,0
130,M,23.0,Karnataka,Kolkata,123591.0,Prepaid,7.0,0.0,43.666666666666664,18041.0,1.4166666666666667,2.5,16.0,16811.0,0
131,M,68.0,Mizoram,Chennai,57327.0,Prepaid,4.0,0.0,36.666666666666664,7487.0,2.533333333333333,1.6666666666666667,37.0,3473.0,0
132,F,40.0,Arunachal Pradesh,Bangalore,142332.0,,1.0,0.0,156.0,11200.333333333334,1.2407407407407407,2.1666666666666665,133.0,11325.0,1
133,M,56.0,Arunachal Pradesh,Hyderabad,218126.0,Postpaid,19.0,0.0,147.0,15277.0,1.896551724137931,1.0,109.0,19439.0,0
134,,36.0,Mizoram,Kolkata,206633.0,Prepaid,11.0,0.0,175.0,8515.0,3.5903614457831323,2.1666666666666665,297.0,8867.0,0
135,M,71.0,Mizoram,Delhi,202003.0,Postpaid,5.0,0.0,158.66666666666666,6971.333333333333,0.6797752808988764,,120.0,5619.0,0
136,F,22.0,Arunachal Pradesh,Mumbai,132935.0,Prepaid,32.0,0.0,134.66666666666666,13033.333333333334,2.1683168316831685,2.8333333333333335,218.0,11248.0,0
137,M,45.0,Karnataka,Bangalore,112708.0,Prepaid,19.0,0.0,206.0,11364.333333333334,1.3641025641025641,2.5,265.0,8826.0,0
138,F,45.0,Maharashtra,Kolkata,176470.0,Postpaid,32.0,0.0,96.0,11173.0,0.8494623655913979,1.0,78.0,695.0,0
139,F,59.0,Maharashtra,Kolkata,77620.0,Postpaid,30.0,0.0,56.333333333333336,8159.666666666667,3.0625,1.0,48.0,1161.0,0
140,F,40.0,Karnataka,Chennai,241135.0,Postpaid,28.0,0.0,154.66666666666666,8648.333333333334,2.105769230769231,1.0,218.0,5233.0,0
141,F,27.0,,Chennai,241298.0,Prepaid,24.0,0.0,128.66666666666666,8095.0,0.7307692307692307,2.3333333333333335,37.0,605.0,0
142,M,65.0,Karnataka,Hyderabad,90463.0,Postpaid,10.0,0.0,167.33333333333334,9895.333333333334,0.8314176245210728,1.0,216.0,4200.0,0
143,F,42.0,West Bengal,Chennai,62056.0,Prepaid,28.0,0.0,125.33333333333333,5661.0,1.45,2.3333333333333335,57.0,8885.0,0
144,F,64.0,Karnataka,Chennai,138094.0,Prepaid,28.0,1.0,98.33333333333333,8936.666666666666,0.7464788732394366,3.1666666666666665,105.0,8526.0,0
145,F,66.0,Karnataka,Chennai,151742.0,Postpaid,11.0,0.0,166.0,4941.0,3.3333333333333335,1.0,229.0,2425.0,0
146,F,40.0,Maharashtra,Delhi,101471.0,,17.0,0.0,99.66666666666667,10138.666666666666,1.4230769230769231,1.0,147.0,11039.0,0
147,M,43.0,Mizoram,Mumbai,223147.0,Prepaid,27.0,0.0,222.66666666666666,14579.0,0.7534722222222222,2.3333333333333335,216.0,11127.0,0
148,F,37.0,Mizoram,Hyderabad,173939.0,Prepaid,18.0,0.0,244.66666666666666,10656.0,1.1074380165289257,2.3333333333333335,,16123.0,0
149,F,55.0,Delhi,Delhi,244531.0,Postpaid,32.0,0.0,138.0,12796.0,1.2916666666666667,1.0,123.0,17875.0,1
150,M,60.0,Mizoram,Delhi,197359.0,Prepaid,5.0,0.0,80.66666666666667,9715.0,0.2550335570469799,2.5,37.0,3762.0,0
151,F,67.0,Tamil Nadu,Bangalore,156304.0,Prepaid,23.0,0.0,41.333333333333336,8677.333333333334,2.0526315789473686,2.0,38.0,4374.0,0
152,M,34.0,Tripura,Bangalore,237741.0,Prepaid,15.0,0.0,167.0,10135.0,0.6666666666666666,2.5,159.0,15495.0,0
153,F,34.0,Delhi,Chennai,245907.0,Prepaid,32.0,0.0,249.66666666666666,10688.333333333334,1.3179723502304148,3.0,285.0,15215.0,0
154,M,59.0,West Bengal,Hyderabad,107954.0,Prepaid,4.0,0.0,88.33333333333333,10560.333333333334,0.55,2.5,65.0,9775.0,0
155,F,30.0,Delhi,Chennai,64825.0,Postpaid,8.0,0.0,167.0,9259.333333333334,0.4420289855072464,1.0,121.0,14639.0,0
156,M,72.0,Maharashtra,Mumbai,181206.0,Prepaid,7.0,0.0,104.33333333333333,13592.666666666666,0.22018348623853212,2.8333333333333335,47.0,18118.0,0
157,F,35.0,Delhi,Chennai,,Postpaid,28.0,,209.0,15121.0,0.6769759450171822,1.0,196.0,15321.0,0
158,F,70.0,West Bengal,Delhi,109499.0,Prepaid,26.0,0.0,151.33333333333334,12989.333333333334,0.1678832116788321,2.1666666666666665,22.0,16416.0,0
159,F,30.0,Karnataka,Bangalore,235971.0,Prepaid,31.0,0.0,246.0,12073.666666666666,0.7801418439716312,2.3333333333333335,219.0,9604.0,0
160,F,46.0,West Bengal,Bangalore,195441.0,Prepaid,21.0,0.0,162.33333333333334,8865.0,0.5625,2.6666666666666665,107.0,4291.0,1
161,M,62.0,West Bengal,Kolkata,205272.0,Prepaid,23.0,0.0,50.666666666666664,2607.3333333333335,2.1785714285714284,2.6666666666666665,60.0,2665.0,1
162,M,38.0,Arunachal Pradesh,Mumbai,111198.0,Prepaid,30.0,0.0,159.0,9571.333333333334,3.5,2.5,237.0,5866.0,0
163,F,52.0,West Bengal,Delhi,221499.0,Prepaid,7.0,1.0,104.0,9473.666666666666,0.07692307692307693,2.1666666666666665,19.0,8502.0,0
164,M,33.0,Karnataka,Delhi,212971.0,Postpaid,19.0,0.0,179.33333333333334,10508.666666666666,0.7924528301886793,1.0,125.0,12489.0,0
165,M,69.0,West Bengal,Hyderabad,113326.0,Postpaid,30.0,0.0,229.33333333333334,8276.0,1.2475247524752475,1.0,251.0,10877.0,0
166,F,72.0,Arunachal Pradesh,Hyderabad,106207.0,Prepaid,8.0,0.0,201.33333333333334,11604.0,2.3,2.3333333333333335,229.0,4461.0,1
167,F,,Delhi,Mumbai,190526.0,Prepaid,20.0,0.0,217.66666666666666,12338.666666666666,0.5477031802120141,2.3333333333333335,154.0,17049.0,0
168,,52.0,West Bengal,Bangalore,62222.0,Prepaid,22.0,0.0,132.33333333333334,8329.666666666666,0.75,1.8333333333333333,155.0,10103.0,0
169,M,24.0,Delhi,Chennai,129430.0,Prepaid,20.0,1.0,227.33333333333334,12624.666666666666,1.8043478260869565,2.3333333333333335,248.0,14833.0,0
170,F,33.0,West Bengal,Chennai,242491.0,Prepaid,7.0,0.0,190.0,13096.666666666666,0.33816425120772947,2.6666666666666665,69.0,12373.0,0
171,,47.0,West Bengal,Mumbai,118300.0,Prepaid,1.0,0.0,65.33333333333333,3523.0,2.074074074074074,2.8333333333333335,55.0,2798.0,1
172,F,65.0,Maharashtra,Delhi,178458.0,Postpaid,14.0,0.0,229.66666666666666,10629.666666666666,1.093984962406015,1.0,290.0,3471.0,0
173,F,64.0,Karnataka,Mumbai,86253.0,Postpaid,17.0,0.0,181.0,8722.666666666666,1.46448087431694,1.0,267.0,15679.0,0
174,M,28.0,Delhi,Kolkata,206098.0,Prepaid,7.0,0.0,171.0,13665.333333333334,0.10945273631840796,2.6666666666666665,21.0,17024.0,0
175,M,73.0,Tamil Nadu,Hyderabad,45095.0,Postpaid,24.0,0.0,217.0,10733.666666666666,0.2596491228070175,1.0,73.0,14471.0,0
176,F,19.0,West Bengal,Mumbai,190948.0,Postpaid,1.0,0.0,98.33333333333333,17549.333333333332,0.379746835443038,1.0,59.0,18757.0,0
177,F,28.0,Tripura,,46553.0,Prepaid,10.0,0.0,177.66666666666666,8094.333333333333,1.912162162162162,3.1666666666666665,282.0,6483.0,0
